# Isotopic data collected from HITRAN and Exomol databases
# https://hitran.org/hapi/
# https://www.exomol.com/data/molecules/

# Column: Notes
# -------------
# - Molecule name
# - HITRAN isotopologue ID: AFGL code
# - Exomol isotopologue ID: derived from Exomol file names, e.g,
#       for water, 1H2-16O  --> 116
# - Isotopic ratio: taken from HITRAN, else, using elemental natural abundances
#       Simeckova et al. (2006), Rothman et al (2013), Lide (2008)
# - Isotopic mass (amu): taken from HITRAN, else calculated with
#       mendeleev.rtfd.io, else taken from Lide (2008) Handbook of chem.
# - isotopes must follow HITRAN order first, then complement with exomol iso

# molecule     isotopologue        isotopic      isotopic
#              HITRAN  Exomol      ratio         mass
AlCl               00  75          0.758000000   61.950391
AlCl               00  77          0.242000000   63.947441
AlF                00  79          1.000000000   45.979942
AlH                00  71          0.999855000   27.989363
AlH                00  72          0.000145000   28.995640
AlH                00  61          9.99855e-19   26.994717
AlO                00  76          0.997570000   42.976453
AlO                00  78          0.002045000   44.980698
AlO                00  77          0.000383500   43.980670
AlO                00  66          9.97570e-19   41.981806
AsH3             0000  5111        0.999565063   77.945070
BeH                00  91          0.999855000   10.020008
BeH                00  92          0.000145000   11.026285
BeH                00  93          1.00000e-20   12.028232
C2                 00  22          0.978912360   24.000000
C2                 00  23          0.010487640   25.003355
C2                 00  33          0.000112360   26.006710
C2H2             1221  2211        0.977598900   26.015650
C2H2             1231  2311        0.021966290   27.019000
C2H2             1222  2212        0.000304550   27.021820
C2H4              221  221111      0.977294400   28.031300
C2H4              231  231111      0.021959460   29.034660
C2H4           112212  221112      0.000141881   29.037577
C2H6             1221  22111111    0.976990000   30.046950
C2H6             1231  23111111    0.021952610   31.050310
C2H6             1222  22111112    0.000141839   31.053227
C2N2             4224  2244        0.970752400   52.006150
C2N2             5225  2255        0.000014098   54.000218
C3                000  222         0.968535889   36.000000
C3                000  223         0.010376471   37.003355
C3                000  232         0.010376471   37.003355
C3H4             1221  2221111     0.967974260   40.031300
C4H2             2211  222211      0.955998000   50.015650
CF4                29  29999       0.988890000   87.993620
CH                 00  21          0.989256537   13.007825
CH                 00  31          0.010598463   14.011180
CH+                00  21          0.989256537   13.007825
CH+                00  31          0.010598463   14.011180
CH3              2111  2111        0.988969673   15.023475
CH3Br             219  21119       0.500994600   93.941810
CH3Br             211  21111       0.487433400   95.939760
CH3CN            2124  211124      0.973866200   41.026550
CH3CN            2134  211134      0.010443295   42.029904
CH3CN            3124  311124      0.010443295   42.029904
CH3CN            3134  311134      0.000111885   43.033259
CH3Cl             215  21115       0.748936900   49.992330
CH3Cl             217  21117       0.239491200   51.989380
CH3F              219  21119       0.988428000   34.021880
CH3I              217  21117       0.988428000  141.927900
CH3I              317  31117       0.010595390  142.931303
CH3OH            2161  211161      0.985929900   32.026220
CH4               211  21111       0.988274100   16.031300
CH4               311  31111       0.011103080   17.034660
CH4               212  31112       0.000615751   17.037480
CH4               312  31112       6.91785e-06   18.040830
CN                 00  24          0.985645227   26.003074
CN                 00  34          0.010559773   27.006429
CN                 00  25          0.003754773   27.000109
CN                 00  35          0.000040227   28.003464
CO                 26  26          0.986544400   27.994910
CO                 36  36          0.011083640   28.998270
CO                 28  28          0.001978224   29.999160
CO                 27  27          0.000367867   28.999130
CO                 38  38          0.000022225   31.002520
CO                 37  37          4.13292e-06   30.002490
CO                 46  46          9.97570e-15   29.998157
CO                 48  48          2.04500e-17   32.002402
CO                 47  47          3.83500e-18   31.002374
CO2               626  266         0.984204300   43.989830
CO2               636  366         0.011057360   44.993180
CO2               628  628         0.003947066   45.994080
CO2               627  627         0.000733989   44.994040
CO2               638  638         0.000044345   46.997430
CO2               637  637         8.24623e-06   45.997400
CO2               828  288         3.95734e-06   47.998320
CO2               827  728         1.47180e-06   46.998290
CO2               727  277         1.36847e-07   45.998260
CO2               838  388         4.44600e-08   49.001670
CO2               837  738         1.65354e-08   48.001650
CO2               737  377         1.53745e-09   47.001620
CO2               646  466         9.95146e-15   45.993071
COCl2            2655  2655        0.566391800   97.932620
COCl2            2657  2657        0.362235000   99.929670
COF2              269  2699        0.986544400   65.991720
COF2              369  3699        0.011083660   66.995080
CP                 00  21          0.989400000   42.973762
CS                 22  22          0.939623600   43.972070
CS                 24  24          0.041681710   45.967870
CS                 32  32          0.010556500   44.975430
CS                 23  23          0.007416675   44.971460
CS                 00  34          0.000462690   46.971222
CS                 00  26          0.000156325   47.967081
CS                 00  33          0.000080878   45.974814
CS                 00  36          1.67480e-06   48.970436
CS2               222  222         0.892811500   75.944140
CS2               224  224         0.079210260   77.939940
CS2               223  223         0.014094350   76.943530
CS2               232  322         0.010030570   76.947500
CaCl               00  05          0.734812780   74.931444
CaCl               00  07          0.234597220   76.928493
CaF                00  09          0.969410000   58.960994
CaF                00  49          0.020860000   62.953885
CaF                00  29          0.006470000   60.957021
CaF                00  89          0.001870000   66.950926
CaF                00  39          0.001350000   61.957170
CaF                00  69          0.000040000   64.952091
CaH                00  01          0.969269436   40.970416
CaO                00  06          0.967054334   55.957505
CaOH              000  061         0.966914111   56.965331
ClO                56  56          0.755907700   50.963770
ClO                76  76          0.241720300   52.960820
ClONO2           5646  56466       0.749570200   96.956670
ClONO2           7646  76466       0.239693700   98.953720
CrH                00  21          0.837768506   52.948330
FeH                00  61          0.917406957   56.942761
GeH4              411  41111       0.365172400   77.952480
GeH4              211  21111       0.274129200   75.953380
GeH4              011  01111       0.205072200   73.955550
GeH4              611  61111       0.077551670   79.952700
GeH4              311  31111       0.077551670   76.954760
H2                 11  11          0.999688500    2.015650
